time/s	Ewe/V	<I>/mA	cycle number	
2.620567789025514E+005	2.0475013E+000	-1.164490608624473E-001	4.000000000000000E+000
2.620767799056808E+005	2.0465031E+000	-1.167290550709006E-001	4.000000000000000E+000
2.620967809088097E+005	2.0454895E+000	-1.170782350627886E-001	4.000000000000000E+000
2.621167793119389E+005	2.0445158E+000	-1.173744592038329E-001	4.000000000000000E+000
2.621367779142659E+005	2.0435207E+000	-1.176773398538261E-001	4.000000000000000E+000
2.621567765066754E+005	2.0424902E+000	-1.179929266982831E-001	4.000000000000000E+000
2.621767773917734E+005	2.0415387E+000	-1.182701856540005E-001	4.000000000000000E+000
2.621967760768724E+005	2.0405071E+000	-1.185233176190432E-001	4.000000000000000E+000
2.622167724619713E+005	2.0395045E+000	-1.188279300932792E-001	4.000000000000000E+000
2.622367710470725E+005	2.0385244E+000	-1.191289252282088E-001	4.000000000000000E+000
2.622567696321737E+005	2.0374804E+000	-1.194534333234680E-001	4.000000000000000E+000
2.622767704172712E+005	2.0364788E+000	-1.197258626722648E-001	4.000000000000000E+000
2.622967714023683E+005	2.0354781E+000	-1.200111399305523E-001	4.000000000000000E+000
2.623167699874695E+005	2.0345221E+000	-1.202049157216734E-001	4.000000000000000E+000
2.623367683725711E+005	2.0335133E+000	-1.205200406112193E-001	4.000000000000000E+000
2.623567669576723E+005	2.0324864E+000	-1.208139918866422E-001	4.000000000000000E+000
2.623767679427695E+005	2.0315495E+000	-1.211395580892303E-001	4.000000000000000E+000
2.623967667278703E+005	2.0304830E+000	-1.214490449877768E-001	4.000000000000000E+000
2.624167629129756E+005	2.0295453E+000	-1.217736543728319E-001	4.000000000000000E+000
2.624367614980768E+005	2.0285206E+000	-1.220423471264982E-001	4.000000000000000E+000
2.624567624831740E+005	2.0275440E+000	-1.223367632887167E-001	4.000000000000000E+000
2.624767634682711E+005	2.0265384E+000	-1.226218785725990E-001	4.000000000000000E+000
2.624967618533727E+005	2.0255208E+000	-1.229009932807257E-001	4.000000000000000E+000
2.625167604384739E+005	2.0245087E+000	-1.232197682797853E-001	4.000000000000000E+000
