time/s	Ewe/V	x	Q discharge/mA.h	Q charge/mA.h	
3,005073924085445E+003	3,0039940E+000	9,686944224987938E-001	0,000000000000000E+000	6,601145330759180E-002
3,015073923832824E+003	3,0039558E+000	9,685091936185111E-001	0,000000000000000E+000	6,640202995744059E-002
3,025073923580203E+003	3,0041087E+000	9,683239613669357E-001	0,000000000000000E+000	6,679261371605223E-002
3,035073923327582E+003	3,0041087E+000	9,681387338745630E-001	0,000000000000000E+000	6,718318743933117E-002
3,045073923074960E+003	3,0042422E+000	9,679535037625731E-001	0,000000000000000E+000	6,757376668637785E-002
3,055073922822339E+003	3,0042231E+000	9,677682736409153E-001	0,000000000000000E+000	6,796434595381014E-002
3,065073922569718E+003	3,0043378E+000	9,675830416323699E-001	0,000000000000000E+000	6,835492919996505E-002
3,075073922317097E+003	3,0042996E+000	9,673978082367152E-001	0,000000000000000E+000	6,874551537100101E-002
3,085073922064475E+003	3,0042806E+000	9,672125756301247E-001	0,000000000000000E+000	6,913609987820313E-002
3,095073921811854E+003	3,0045478E+000	9,670273405938675E-001	0,000000000000000E+000	6,952668950864052E-002
3,105073921559233E+003	3,0045860E+000	9,668421046925005E-001	0,000000000000000E+000	6,991728096326234E-002
3,115073921306612E+003	3,0046623E+000	9,666568711005786E-001	0,000000000000000E+000	7,030786754815074E-002
3,125073921053990E+003	3,0047386E+000	9,664716359241994E-001	0,000000000000000E+000	7,069845747405168E-002
3,135073920801369E+003	3,0048914E+000	9,662864027173730E-001	0,000000000000000E+000	7,108904324692117E-002
3,145073920548748E+003	3,0049868E+000	9,661011681674585E-001	0,000000000000000E+000	7,147963185184823E-002
3,155073920296127E+003	3,0049486E+000	9,659159349114127E-001	0,000000000000000E+000	7,187021772850265E-002
3,165073920043506E+003	3,0050058E+000	9,657307017064123E-001	0,000000000000000E+000	7,226080349752184E-002
3,175073919790884E+003	3,0050824E+000	9,655454706023279E-001	0,000000000000000E+000	7,265138483651522E-002
3,185073919538263E+003	3,0053496E+000	9,653602373524298E-001	0,000000000000000E+000	7,304197070020646E-002
3,195073919285642E+003	3,0055788E+000	9,651750035387082E-001	0,000000000000000E+000	7,343255775278519E-002
3,205073919033021E+003	3,0056932E+000	9,649897692559025E-001	0,000000000000000E+000	7,382314579448231E-002
3,215073918780399E+003	3,0059223E+000	9,648045344782613E-001	0,000000000000000E+000	7,421373487959763E-002
3,225073918527778E+003	3,0061705E+000	9,646193024813972E-001	0,000000000000000E+000	7,460431810112093E-002
3,235073918275157E+003	3,0061896E+000	9,644340714827317E-001	0,000000000000000E+000	7,499489921782623E-002
3,245073918022536E+003	3,0062087E+000	9,642488408256826E-001	0,000000000000000E+000	7,538547961419367E-002
3,255073917769914E+003	3,0060177E+000	9,640636056090983E-001	0,000000000000000E+000	7,577606962487145E-002
3,265073917517293E+003	3,0060177E+000	9,638783699789327E-001	0,000000000000000E+000	7,616666050763389E-002
3,275073917264672E+003	3,0061324E+000	9,636931349634950E-001	0,000000000000000E+000	7,655725009417080E-002
3,285073917012051E+003	3,0060561E+000	9,635079003748129E-001	0,000000000000000E+000	7,694783878084398E-002
3,295073916759429E+003	3,0061896E+000	9,633226651085934E-001	0,000000000000000E+000	7,733842889618336E-002
3,305073916506808E+003	3,0061514E+000	9,631374285244971E-001	0,000000000000000E+000	7,772902179041961E-002
3,315073916254187E+003	3,0061324E+000	9,629521934658433E-001	0,000000000000000E+000	7,811961146808293E-002
3,325073916001566E+003	3,0061133E+000	9,627669595500512E-001	0,000000000000000E+000	7,851019873588906E-002
3,335073915748944E+003	3,0061133E+000	9,625817253775857E-001	0,000000000000000E+000	7,890078654492109E-002
3,345073915496323E+003	3,0063806E+000	9,623964897531225E-001	0,000000000000000E+000	7,929137741565913E-002
3,355073915243702E+003	3,0062659E+000	9,622112545512235E-001	0,000000000000000E+000	7,968196739537146E-002
3,365073914991081E+003	3,0062852E+000	9,620260221803358E-001	0,000000000000000E+000	8,007255140556686E-002
3,375073914738459E+003	3,0064187E+000	9,618407864275726E-001	0,000000000000000E+000	8,046314254684044E-002
3,385073914485838E+003	3,0064569E+000	9,616555501249492E-001	0,000000000000000E+000	8,085373484755846E-002
3,395073914233217E+003	3,0064378E+000	9,614703155360256E-001	0,000000000000000E+000	8,124432353474076E-002
3,405073913980596E+003	3,0064187E+000	9,612850835593026E-001	0,000000000000000E+000	8,163490671379409E-002
3,415073913727974E+003	3,0064378E+000	9,610998526898754E-001	0,000000000000000E+000	8,202548755798530E-002
3,425073913475353E+003	3,0063043E+000	9,609146197484454E-001	0,000000000000000E+000	8,241607277123589E-002
3,435073913222732E+003	3,0063424E+000	9,607293841344250E-001	0,000000000000000E+000	8,280666361995415E-002
3,445073912970111E+003	3,0063043E+000	9,605441479457033E-001	0,000000000000000E+000	8,319725568049692E-002
3,455073912717489E+003	3,0061896E+000	9,603589135631748E-001	0,000000000000000E+000	8,358784393247094E-002
3,465073912464868E+003	3,0062852E+000	9,601736803553667E-001	0,000000000000000E+000	8,397842970741086E-002
3,475073912212247E+003	3,0061705E+000	9,599884464948605E-001	0,000000000000000E+000	8,436901685864025E-002
3,485073911959626E+003	3,0063806E+000	9,598032126043460E-001	0,000000000000000E+000	8,475960407314576E-002
3,495073911707004E+003	3,0064187E+000	9,596179776385584E-001	0,000000000000000E+000	8,515019355498960E-002
3,505073911454383E+003	3,0062852E+000	9,594327401461715E-001	0,000000000000000E+000	8,554078836446216E-002
3,515073911201762E+003	3,0064187E+000	9,592475034472566E-001	0,000000000000000E+000	8,593138150080668E-002
3,525073910949141E+003	3,0062852E+000	9,590622682688555E-001	0,000000000000000E+000	8,632197143097099E-002
3,535073910696519E+003	3,0064759E+000	9,588770337292578E-001	0,000000000000000E+000	8,671256001414401E-002
3,545073910443898E+003	3,0064569E+000	9,586918005860522E-001	0,000000000000000E+000	8,710314565286166E-002
3,555073910191277E+003	3,0064759E+000	9,585065645757879E-001	0,000000000000000E+000	8,749373733710623E-002
3,565073909938656E+003	3,0065141E+000	9,583213284126586E-001	0,000000000000000E+000	8,788432934368445E-002
3,575073909686034E+003	3,0066669E+000	9,581360907859116E-001	0,000000000000000E+000	8,827492443647114E-002
3,585073909433413E+003	3,0069342E+000	9,579508516442935E-001	0,000000000000000E+000	8,866552272353945E-002
3,595073909180792E+003	3,0071251E+000	9,577656118357702E-001	0,000000000000000E+000	8,905612241685518E-002
3,605073908928171E+003	3,0071061E+000	9,575803696864306E-001	0,000000000000000E+000	8,944672704605472E-002
3,615073908675549E+003	3,0070488E+000	9,573951248664341E-001	0,000000000000000E+000	8,983733730664480E-002
